temp,type,sales
19.4,choco,64.80740705069813
0.9,vanilla,25.656696920541798
7.4,vanilla,34.756650454105454
4.5,choco,27.265441853304708
21.1,choco,70.6069457459209
23.2,vanilla,75.69795731133586
0.3,choco,25.487638446522176
11.2,choco,45.59316819233514
8.4,choco,43.46570751312567
22.3,choco,73.28795304494487
1.0,choco,16.760159266026605
19.5,vanilla,66.2833388133007
24.4,vanilla,82.02526792733148
11.2,vanilla,49.83111079630039
7.0,vanilla,27.776197979792784
5.0,choco,28.06443402889772
4.9,vanilla,31.905790675599302
9.4,choco,41.99472886924639
14.7,vanilla,55.81919973021963
8.0,vanilla,38.67986653990905
22.3,choco,78.11125381122736
20.0,vanilla,70.6961498120729
1.2,choco,17.8252465024609
9.9,choco,43.76701356020669
25.1,choco,83.39228123239062
6.3,vanilla,31.19189010213796
6.5,vanilla,34.12699160314366
8.7,vanilla,39.94934936852361
16.1,vanilla,56.6074341616368
0.7,vanilla,23.4626715320795
24.8,vanilla,79.30475598595493
18.6,choco,65.53381545138298
8.1,vanilla,40.64222173185827
5.6,choco,32.61808368712064
18.3,choco,70.39980321505261
23.5,vanilla,76.32510514393455
5.9,vanilla,40.04636272084329
9.9,choco,43.573675540603524
1.5,choco,21.02592777343637
0.9,choco,20.85281073928923
22.8,vanilla,77.67227744543125
23.3,choco,82.61060223147194
17.8,vanilla,64.46325968145926
10.3,choco,46.63836083119373
21.5,choco,70.17608950839205
22.4,vanilla,78.07043197513333
11.5,vanilla,48.68729521810756
6.8,vanilla,39.32390216028801
9.1,choco,43.82133771453524
9.9,vanilla,45.82104645789514
8.4,choco,45.69393096744202
12.0,choco,50.52373343849552
23.0,vanilla,80.37781247825562
6.3,vanilla,38.84739578165344
5.0,choco,31.596688913232132
9.4,choco,46.246206353106224
15.2,vanilla,59.78547107631074
23.1,choco,78.58007239799005
9.3,vanilla,49.6491001239688
10.3,vanilla,48.44879962629975
0.7,choco,23.377680130757895
2.5,choco,24.61685182642445
0.9,choco,22.975886814698104
7.6,choco,38.783969635259
6.4,vanilla,39.80073344755987
2.5,choco,26.5827677691296
8.5,choco,41.51114120471451
22.3,choco,79.22578673702222
12.8,choco,46.24368635410288
2.6,choco,27.627094055037016
10.8,choco,45.73806403170392
24.5,vanilla,86.87851251764766
6.1,choco,33.21923399908212
-3.7,vanilla,12.432353579104703
26.0,choco,85.46117531783658
2.0,choco,29.39694630676466
1.4,vanilla,21.181524356387285
8.1,choco,41.33418681652524
9.5,choco,44.73625332897905
2.6,choco,23.04701926773309
19.9,vanilla,68.33688508314503
9.1,choco,47.18368213422455
13.4,choco,53.68069062982308
3.2,choco,27.124918750620168
25.4,vanilla,88.99437629756306
17.4,choco,63.79895409526292
2.3,vanilla,27.808780571123542
21.5,vanilla,71.26830716934303
18.6,vanilla,65.53584247504102
25.7,vanilla,87.78832036216386
7.1,choco,34.16138012775799
9.4,vanilla,43.04464471489325
2.5,vanilla,24.8342044026317
25.7,choco,84.76954277755354
16.0,vanilla,66.27716182705637
9.8,vanilla,43.0209971960235
20.2,vanilla,66.27760867687033
13.1,choco,52.67045837365235
19.6,vanilla,69.73106163447574
25.4,choco,79.76278366386404
22.8,choco,79.46618047998346
18.1,vanilla,63.21851486546367
8.4,choco,40.892521882670145
7.7,vanilla,34.9595758661181
3.6,choco,28.9595083257862
20.6,vanilla,75.92606865084866
3.6,vanilla,29.13671551971144
15.4,vanilla,56.04533795029958
11.9,vanilla,50.10198214992634
2.0,vanilla,19.398204422224758
25.1,vanilla,84.22575751451951
2.5,choco,21.97575544135963
2.9,vanilla,25.104088872220096
21.5,vanilla,74.71815568101427
18.9,choco,69.69055165210901
3.8,choco,31.967634736309567
13.4,vanilla,55.97624904696409
1.4,choco,20.461506638996728
8.3,choco,45.36410969939791
23.3,vanilla,80.86696191016203
27.3,choco,84.82108910650813
17.0,vanilla,64.8749880818888
24.5,choco,78.70961884579478
7.0,choco,36.94302307000855
11.9,choco,50.962152570443614
23.3,choco,78.28900567563372
-1.3,vanilla,19.91140615610471
6.0,choco,35.97225190818438
11.9,choco,55.40855770363159
2.0,choco,24.322671098540393
26.0,choco,82.3484276913966
2.0,choco,20.763088895994127
16.0,vanilla,56.98194785550089
24.0,choco,81.44741724572955
18.3,vanilla,68.67535920025325
18.1,choco,66.67077729190555
15.0,vanilla,57.10957083689695
21.1,choco,73.62921741989604
-4.1,choco,11.240142459033699
-3.0,vanilla,15.749153729525831
9.6,choco,45.53980229934007
17.9,choco,64.95568892441808
24.1,vanilla,80.70118135942862
12.4,choco,50.7766622527015
20.7,choco,69.70992583526453
0.3,vanilla,22.29510580162598
0.4,choco,19.591576842195146
19.8,vanilla,67.97917047388661
20.6,choco,72.53934462849092
8.4,vanilla,38.05547404685615
22.9,vanilla,78.74399487373636
8.1,vanilla,44.573819867198345
17.9,vanilla,62.058236885542506
5.9,choco,35.78085486870538
19.6,choco,72.92142826284729
18.3,choco,62.99172729729859
1.2,vanilla,22.054192266078964
21.2,vanilla,72.13402408323958
